Stock1,Stock2,Correlation
AAPL,ATVI,-0.8201313821011281
AAPL,FOX,-0.8497839963931767
AAPL,KHC,-0.9501518089021006
AAPL,PCAR,-0.8681581989022262
AAPL,PDD,-0.8199053349116413
AAPL,TCOM,-0.8546027500156921
AAPL,WBA,-0.8101437711308013
ADBE,FOX,-0.8235766790106211
ADBE,KHC,-0.9633023615670547
ADBE,PCAR,-0.8979627089691519
ADBE,TCOM,-0.8347069566944237
ADP,BIDU,-0.8163985259234611
ADP,KHC,-0.8101280819069638
ADP,PCAR,-0.8678273279207851
ADP,PDD,-0.899449897193168
ADP,TCOM,-0.9259091898621071
ADSK,PCAR,-0.8515782131838328
ADSK,PDD,-0.850352268866305
ADSK,TCOM,-0.8703815632427249
AEP,ATVI,-0.8229452808786093
AEP,INCY,-0.8366569264546962
ALGN,AMGN,-0.803652147717413
ALGN,ATVI,-0.8839101557974594
ALGN,INCY,-0.805627771401767
ALGN,KHC,-0.9127602607322977
ALGN,PCAR,-0.8974384827938011
AMD,ATVI,-0.8896679751851497
AMD,INCY,-0.802188697435999
AMD,KHC,-0.9259999703781294
AMD,PCAR,-0.9340710020550835
AMD,PDD,-0.8182823976259289
AMD,TCOM,-0.8457682665581716
AMGN,ASML,-0.8514487882966438
AMGN,CSCO,-0.8237140903833591
AMGN,EXC,-0.8248713703333467
AMGN,SNPS,-0.8258480564161995
AMGN,TEAM,-0.8540724588477292
ANSS,ATVI,-0.8266774448787249
ANSS,FOX,-0.8125932480355123
ANSS,KHC,-0.8845508304752909
ANSS,PCAR,-0.8736878852960196
ASML,ATVI,-0.8674579848730467
ASML,INCY,-0.8085877317043387
ASML,KHC,-0.897366053131153
ASML,PCAR,-0.8525380012946268
ATVI,CDNS,-0.8941117877634119
ATVI,CDW,-0.9107428705504853
ATVI,CHTR,-0.8678216604751617
ATVI,COST,-0.9128787902180655
ATVI,DXCM,-0.8697666993767046
ATVI,GOOG,-0.8334915151095268
ATVI,GOOGL,-0.8797995689175571
ATVI,ISRG,-0.8796308325883884
ATVI,LULU,-0.8251915390891527
ATVI,MELI,-0.8807503238597855
ATVI,MRNA,-0.9038672677010267
ATVI,MSFT,-0.8328541693468124
ATVI,REGN,-0.8397790903311388
ATVI,SNPS,-0.8071842022487934
ATVI,TEAM,-0.9034160284067543
ATVI,TSLA,-0.811964333906381
ATVI,VRSK,-0.8977057201318872
ATVI,XLNX,-0.8176938930691107
AVGO,DLTR,-0.8284306532802381
BIDU,CDW,-0.8374347616685022
BIDU,CHTR,-0.8214939461651688
BIDU,COST,-0.8755490195678017
BIDU,CSCO,-0.8119230973335945
BIDU,EXC,-0.8172736305250022
BIDU,GILD,-0.8302820217978958
