ResponseId,Finished,Duration (in seconds),Status,SC0,gender,age,race,hispanic_origin,education,country_origin,region,politics,1_expert_trust,2_expert_trust,3_expert_trust,4_expert_trust,5_expert_trust,6_expert_trust,1_health_engagement,2_health_engagement,3_health_engagement,4_health_engagement,5_health_engagement,info_source,attention1,attention2,attention_meat_exp,attention_oil_inf,attention_meat_infl,attention_oil_exp,Q_RecaptchaScore,Q_DuplicateRespondent,complete,meat_exp_accurate,meat_exp_authentic,meat_exp_believable,dmy1_slp_accurate,dmy1_slp_authentic,dmy1_slp_believable,dmy2_wt_accurate,dmy2_wt_authentic,dmy2_wt_believable,oil_infl_accurate,post_oil_authentic,post_oil_believable,meat_infl_accurate,meat_infl_authentic,meat_infl_believable,oil_exp_accurate,oil_exp_authentic,oil_exp_believable,condition_sequence,order_pattern,post_meat_source,post_oil_source,keep_flag,expert_trust_index,health_engagement_index,meat_exp_cred,meat_infl_cred,meat_cred,oil_exp_cred,oil_infl_cred,oil_cred,age_group
R_747Wu9pgGjmO20T,1,156,0,1,1,18-24,2,2,2,1,3,2,5,7,5,7,6,5,5,6,7,7,6,"4,5",4,3,,,4,1,0.800000011920929,,1,,,,5,7,4,4,7,5,,,,4,5,4,4,7,5,influencer_meat_expert_oil,tfft,influencer,expert,1,6,6.2,,4.33333333333333,4.33333333333333,5.33333333333333,,5.33333333333333,18-34
R_6g0c3mm8t9mAeOV,1,357,0,2,1,25-34,1,2,5,1,4,6,7,6,5,5,7,7,7,6,7,5,7,"1,3,4",4,3,2,2,,,1,,1,7,6,7,7,6,7,7,6,7,7,6,7,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,6,6.4,6.66666666666667,,6.66666666666667,,6.66666666666667,6.66666666666667,18-34
R_6CDm0fPllZH9681,1,251,0,3,2,35-44,1,2,1,1,3,7,7,7,7,7,7,7,7,7,7,7,7,1,4,7,4,2,,,0.899999976158142,,1,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,7,7,7,,7,,7,7,35-54
R_12oix1411U5MmVL,1,187,0,2,1,25-34,1,2,4,1,2,2,7,7,7,7,7,7,6,7,7,7,7,"1,2,3,4,6,5",4,3,,,2,2,0.899999976158142,,1,,,,7,7,7,7,7,7,,,,7,7,7,7,7,7,influencer_meat_expert_oil,tfft,influencer,expert,1,7,6.8,,7,7,7,,7,18-34
R_7syvAL9ZbjGPSU0,1,413,0,2,2,45-54,2,2,3,1,4,4,6,5,6,5,5,6,2,2,2,3,3,"1,2,3",4,3,,,5,6,1,,1,,,,4,4,5,5,5,5,,,,4,3,5,5,6,6,influencer_meat_expert_oil,ftft,influencer,expert,1,5.4,2.4,,4,4,5.66666666666667,,5.66666666666667,35-54
R_6UXkBa6PsKbaonS,1,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.800000011920929,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_6gAUGQ9MRAfGItW,1,185,0,3,2,25-34,1,1,3,1,3,2,6,6,6,6,6,6,6,6,6,6,6,"2,6",4,6,,,3,4,0.899999976158142,,1,,,,6,6,6,7,5,7,,,,6,6,6,6,6,6,influencer_meat_expert_oil,tfft,influencer,expert,0,6,6,,6,6,6,,6,18-34
R_3sbAgHDyBjX690L,1,307,0,0,1,45-54,1,2,3,1,1,3,4,6,6,4,1,5,1,1,1,1,1,8,4,3,1,1,,,0.800000011920929,,1,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,4.2,1,4,,4,,4,4,35-54
R_6ozkmsHnlx6QrK5,1,199,0,2,1,35-44,1,2,2,1,1,4,7,7,7,7,7,7,7,7,7,7,7,4,4,3,,,3,4,1,,1,,,,7,7,7,7,7,7,,,,7,7,7,7,7,7,influencer_meat_expert_oil,tfft,influencer,expert,1,7,7,,7,7,7,,7,35-54
R_59buhy1OPeOHm8U,1,284,0,2,1,18-24,1,2,5,1,3,1,7,7,7,7,7,7,7,7,7,7,7,"3,4,6",4,3,,,4,2,0.899999976158142,,1,,,,7,7,7,7,7,7,,,,7,7,7,7,7,7,influencer_meat_expert_oil,ftft,influencer,expert,1,7,7,,7,7,7,,7,18-34
R_6PniOkuVKR5NaCe,1,261,0,0,2,55-64,1,2,2,1,1,5,7,5,7,4,5,7,7,7,7,5,6,"1,3,4",4,3,1,1,,,0.200000002980232,,1,7,7,7,7,7,7,7,7,7,6,6,6,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,5.6,6.4,7,,7,,6,6,55+
R_6Ih1UvOYSiBjiKJ,1,474,0,3,1,18-24,5,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,,,0.800000011920929,,1,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,4,4,4,,4,,4,4,18-34
R_1zdTghvVj4n23jv,1,391,0,2,1,25-34,1,2,4,1,2,4,6,6,7,7,7,7,7,7,7,6,7,"1,2,4,6,5",4,3,4,2,,,1,,1,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,6.6,6.8,7,,7,,7,7,18-34
R_5F4AcuhdXJjtg0E,1,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_6pidewQN8abB8I1,1,284,0,1,1,25-34,1,2,4,1,3,5,5,6,4,6,5,5,4,4,4,5,5,2,4,3,1,2,,,0.899999976158142,,1,4,4,4,4,3,4,4,4,4,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,5.2,4.4,4,,4,,4,4,18-34
R_1M6rxtcmfiB7O60,1,308,0,2,2,55-64,1,2,2,1,1,6,4,4,5,5,5,4,6,6,5,6,7,"1,3",4,3,2,2,,,0.800000011920929,,1,6,6,6,4,5,5,6,6,6,6,6,6,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,4.6,6,6,,6,,6,6,55+
R_6WSUVyQVR1v3tnt,1,334,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_3JJvyPGLHrH2e5E,1,185,0,3,1,55-64,4,2,3,1,3,4,4,4,4,2,3,3,5,4,5,5,4,3,5,4,2,1,,,1,,1,3,3,3,3,5,2,3,5,3,3,3,5,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,3.4,4.6,3,,3,,3.66666666666667,3.66666666666667,55+
R_7kAQi0L4FZ1MdO2,1,112,0,0,1,25-34,1,1,5,111,4,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_545V1QlwfT9Jj4t,1,593,0,0,2,25-34,,2,3,1,1,4,6,6,5,3,1,6,6,6,6,6,6,"2,3",4,3,,,1,1,0.800000011920929,,1,,,,5,1,5,5,2,5,,,,6,2,5,5,2,5,influencer_meat_expert_oil,ftft,influencer,expert,1,4.2,6,,4.33333333333333,4.33333333333333,4,,4,18-34
R_6HT75unMMj0YD2C,1,345,0,2,1,25-34,1,2,5,1,4,2,7,6,6,5,6,5,5,6,6,5,6,"1,2,3",4,3,,,4,3,0.699999988079071,,1,,,,5,6,7,6,5,5,,,,5,6,6,7,6,5,influencer_meat_expert_oil,tfft,influencer,expert,1,6,5.6,,5.66666666666667,5.66666666666667,6,,6,18-34
R_7dJXVUMlYX69wQh,1,166,0,1,2,25-34,2,2,2,1,1,1,7,7,7,7,7,7,7,7,7,7,7,"1,2,6,5",4,3,,,3,1,0.800000011920929,,1,,,,7,7,7,7,7,7,,,,7,7,7,7,7,7,influencer_meat_expert_oil,tfft,influencer,expert,1,7,7,,7,7,7,,7,18-34
R_1uKAHCTgGKtIxod,1,156,0,3,1,25-34,1,1,2,1,1,3,4,4,5,6,2,6,6,5,4,2,5,3,5,4,1,3,,,0.800000011920929,,1,2,5,4,5,2,4,5,6,3,2,3,5,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,4.2,4.4,3.66666666666667,,3.66666666666667,,3.33333333333333,3.33333333333333,18-34
R_7Qsz21fBJUymXlL,1,243,0,1,1,18-24,2,2,2,1,3,4,7,2,5,7,6,7,4,7,7,7,7,"1,2,5",4,3,,,2,1,1,,1,,,,7,6,7,7,7,7,,,,6,6,5,7,6,7,influencer_meat_expert_oil,ftft,influencer,expert,1,5.4,6.4,,5.66666666666667,5.66666666666667,6.66666666666667,,6.66666666666667,18-34
R_5kM6C8RLujHkUaY,1,145,0,3,2,18-24,1,1,2,1,3,4,4,2,2,2,5,2,7,5,6,5,6,3,4,4,2,4,,,0.800000011920929,,1,4,2,4,4,4,5,5,2,5,3,6,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,3,5.8,3.33333333333333,,3.33333333333333,,4.33333333333333,4.33333333333333,18-34
R_3Jn05ODDmGGu66i,1,331,0,1,2,35-44,1,2,2,1,2,5,6,5,7,4,3,7,6,6,6,6,6,"2,3,6",4,3,1,2,,,0.800000011920929,,1,4,5,6,6,6,6,7,7,7,6,6,6,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,5,6,5,,5,,6,6,35-54
R_1HBmrZiIbOE5J2M,1,188,0,2,1,25-34,1,2,5,1,3,6,7,7,7,6,4,6,7,6,5,6,7,"2,4,6",4,3,,,2,6,1,,1,,,,7,7,7,7,7,7,,,,4,6,7,7,7,4,influencer_meat_expert_oil,tfft,influencer,expert,1,6.2,6.2,,5.66666666666667,5.66666666666667,6,,6,18-34
R_7QLVI0d9G3vKJyf,1,150,0,0,2,18-24,1,2,4,1,3,2,6,5,6,7,5,6,7,7,6,7,6,"3,5",4,3,1,1,,,0.800000011920929,,1,7,7,7,6,6,5,3,2,1,7,7,7,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,5.8,6.6,7,,7,,7,7,18-34
R_6oEYX6pDv6iidjM,1,379,0,0,2,25-34,2,2,2,1,2,4,5,5,6,5,4,5,6,6,6,5,6,"1,2",4,3,,,1,1,0.800000011920929,,1,,,,4,4,4,6,6,6,,,,5,5,5,5,5,5,influencer_meat_expert_oil,ftft,influencer,expert,1,5,5.8,,5,5,5,,5,18-34
R_6WQnCb1uDkShvcl,1,363,0,0,2,55-64,1,2,4,1,1,3,6,7,7,3,1,5,7,7,7,7,6,1,4,3,,,1,1,0.800000011920929,,1,,,,7,7,7,7,7,7,,,,6,5,7,7,7,7,influencer_meat_expert_oil,ftft,influencer,expert,1,4.8,6.8,,6,6,7,,7,55+
R_59tv540oODFEXId,1,228,0,0,2,35-44,1,2,3,1,1,4,7,4,7,7,5,7,7,6,7,7,7,"1,2,3,4",4,3,1,1,,,0.800000011920929,,1,6,7,6,7,7,7,7,7,7,7,7,7,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,6,6.8,6.33333333333333,,6.33333333333333,,7,7,35-54
R_7LBBIxglieEhJVz,1,301,0,2,1,35-44,2,2,4,1,1,6,7,7,6,4,3,6,7,7,7,7,5,1,4,3,,,5,2,1,,1,,,,6,7,7,6,5,6,,,,4,7,7,7,7,7,influencer_meat_expert_oil,ftft,influencer,expert,1,5.4,6.6,,6,6,7,,7,35-54
