ResponseId,Finished,Duration (in seconds),Status,SC0,gender,age,race,hispanic_origin,education,country_origin,region,politics,1_expert_trust,2_expert_trust,3_expert_trust,4_expert_trust,5_expert_trust,6_expert_trust,1_health_engagement,2_health_engagement,3_health_engagement,4_health_engagement,5_health_engagement,info_source,attention1,attention2,attention_meat_exp,attention_oil_inf,attention_meat_infl,attention_oil_exp,Q_RecaptchaScore,Q_DuplicateRespondent,complete,meat_exp_accurate,meat_exp_authentic,meat_exp_believable,dmy1_slp_accurate,dmy1_slp_authentic,dmy1_slp_believable,dmy2_wt_accurate,dmy2_wt_authentic,dmy2_wt_believable,oil_infl_accurate,oil_infl_authentic,oil_infl_believable,meat_infl_accurate,meat_infl_authentic,meat_infl_believable,oil_exp_accurate,oil_exp_authentic,oil_exp_believable,condition_sequence,order_pattern,post_meat_source,post_oil_source,keep_flag,expert_trust_index,health_engagement_index,meat_exp_cred,meat_infl_cred,meat_cred,oil_exp_cred,oil_infl_cred,oil_cred,age_group
R_1rIk5qJa4PdpLC3,1,149,0,1,1,18-24,1,2,1,1,2,6,7,7,7,7,7,7,7,7,7,7,7,"4,6",4,3,,,1,3,0.899999976158142,,1,,,,7,7,7,7,7,7,,,,7,7,7,7,7,7,influencer_meat_expert_oil,ftft,influencer,expert,1,7,7,,7,7,7,,7,18-34
R_726g77ZY2EQnmwE,1,128,0,0,1,18-24,1,2,4,1,3,1,7,6,7,7,1,7,7,7,7,7,7,"2,3,4,5",4,3,,,1,1,1,,1,,,,7,7,7,7,7,7,,,,7,7,7,7,7,7,influencer_meat_expert_oil,ftft,influencer,expert,1,5.6,7,,7,7,7,,7,18-34
R_7t9UNxAehf42qGR,1,189,0,2,2,25-34,1,2,2,1,2,1,4,4,5,4,3,3,4,4,4,3,4,3,4,4,1,2,,,0.699999988,,1,4,5,2,4,3,4,4,4,4,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,4,3.8,3.66666666666667,,3.66666666666667,,4,4,18-34
R_1I6AV8ijjx0EjyF,1,190,0,3,1,Under18,2,2,2,1,1,5,7,6,2,3,3,2,2,3,7,3,2,8,5,5,3,1,,,0.899999976158142,,1,1,2,2,1,1,6,1,5,2,6,3,3,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,4.2,3.4,1.66666666666667,,1.66666666666667,,4,4,55+
R_1nHuVQlcmWS0RJU,1,276,0,2,1,55-64,1,2,2,1,3,4,5,5,5,5,1,6,4,5,5,5,5,1,4,3,,,2,3,1,,1,,,,4,4,4,4,4,4,,,,4,4,4,4,4,4,influencer_meat_expert_oil,ftft,influencer,expert,1,4.2,4.8,,4,4,4,,4,55+
R_1me0SJ0bkK9kvyF,1,289,0,2,1,35-44,1,1,2,1,3,5,6,5,5,4,5,6,6,6,7,6,6,"1,3,4",4,3,,,3,6,0.899999976158142,,1,,,,6,5,6,6,5,6,,,,6,6,6,4,4,4,influencer_meat_expert_oil,tfft,influencer,expert,1,5,6.2,,6,6,4,,4,35-54
R_7zYLPbocPGjZVfQ,1,295,0,0,2,25-34,1,2,3,1,2,1,6,6,7,4,6,5,6,6,6,6,6,"1,3,4",4,3,1,1,,,0.899999976158142,,1,6,6,6,5,6,5,7,7,7,6,6,6,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,5.8,6,6,,6,,6,6,18-34
R_35sbdBKXIWlIzo5,1,181,0,2,1,25-34,1,2,3,1,4,7,6,7,7,6,7,7,7,6,7,6,7,"1,2,3,4,5",4,3,2,3,,,0.800000012,,1,7,6,7,7,6,7,7,6,7,7,6,7,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,6.6,6.6,6.66666666666667,,6.66666666666667,,6.66666666666667,6.66666666666667,18-34
R_7IAtY3JaSyrwrND,1,277,0,1,2,18-24,1,2,2,1,3,6,5,5,5,4,4,5,5,5,4,4,4,"1,2,3,4",4,3,1,2,,,0.899999976158142,,1,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,4.6,4.4,4,,4,,4,4,18-34
R_3uWcuGWpYZhIpUd,1,319,0,0,1,18-24,,2,3,1,3,3,6,7,7,6,6,6,7,6,5,6,6,"1,3,5",4,3,,,1,1,0.899999976158142,,1,,,,6,7,7,6,6,6,,,,6,7,7,6,6,6,influencer_meat_expert_oil,tfft,influencer,expert,1,6.4,6,,6.66666666666667,6.66666666666667,6,,6,18-34
R_3Ns3z8qbOa7KZZV,1,45,0,0,1,18-24,3,1,4,1,3,,,5,,6,5,7,,,,,,,,,,,,,0.800000012,,0,,,,,,,,,,,,,,,,,,,,,,,0,5.33333333333333,,,,,,,,18-34
R_1pQWCSGXv2p9Dlk,1,87,0,0,1,35-44,,2,3,1,1,,,4,,6,4,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,4.66666666666667,,,,,,,,35-54
R_1GPuehpJvE9L3Q2,1,185,0,3,2,25-34,1,2,1,1,3,4,5,5,5,5,5,5,6,5,5,6,6,1,4,5,,,2,4,0.899999976158142,,1,,,,5,5,6,5,6,5,,,,5,6,6,6,6,6,influencer_meat_expert_oil,ftft,influencer,expert,0,5,5.6,,5.66666666666667,5.66666666666667,6,,6,18-34
R_5g9RpAovDw69owp,1,243,0,0,1,18-24,2,2,3,1,3,3,7,5,5,7,6,6,6,6,6,4,6,"3,4",4,3,1,1,,,1,,1,6,6,6,3,3,4,6,6,7,7,6,7,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,6,5.6,6,,6,,6.66666666666667,6.66666666666667,18-34
R_6v1dJ98xPsNUA1w,1,380,0,0,2,55-64,1,2,3,1,4,6,6,6,6,7,4,7,5,5,4,5,6,"4,6",4,3,,,1,1,1,,1,,,,6,5,6,6,6,6,,,,4,5,4,6,6,5,influencer_meat_expert_oil,ftft,influencer,expert,1,5.8,5,,4.33333333333333,4.33333333333333,5.66666666666667,,5.66666666666667,55+
R_1rMW6g5sJ1OssD6,1,171,0,3,2,35-44,1,2,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,,,0.5,,1,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,4,4,4,,4,,4,4,35-54
R_1NIBRwCvFFFsZ3F,1,239,0,0,2,18-24,1,2,2,1,4,4,4,6,6,6,4,6,5,6,5,4,5,"1,2",4,3,1,1,,,0.800000012,,1,4,5,4,6,6,5,6,6,6,6,5,5,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,5.2,5,4.33333333333333,,4.33333333333333,,5.33333333333333,5.33333333333333,18-34
R_71RVHsZDJwm26GC,1,407,0,0,1,55-64,1,2,2,1,1,6,5,5,6,6,1,7,1,2,1,4,1,1,4,3,1,1,,,0.899999976158142,,1,3,4,3,5,4,3,5,4,5,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4.6,1.8,3.33333333333333,,3.33333333333333,,4,4,55+
R_1Vr19rEvshVy0ys,1,280,0,3,2,18-24,1,1,1,1,2,6,5,5,5,5,5,5,5,5,5,6,5,3,4,5,,,4,4,0.899999976158142,,1,,,,6,6,6,7,6,6,,,,4,4,4,6,6,5,influencer_meat_expert_oil,ftft,influencer,expert,0,5,5.2,,4,4,5.66666666666667,,5.66666666666667,18-34
R_60P5OOCMt7wwUU4,1,217,0,1,1,35-44,1,2,2,1,4,4,7,6,6,7,7,7,7,7,7,7,7,"1,2,3,4",4,3,,,2,1,0.899999976158142,,1,,,,7,7,7,7,7,7,,,,7,7,7,7,7,7,influencer_meat_expert_oil,tfft,influencer,expert,1,6.6,7,,7,7,7,,7,35-54
R_37zpAFvlCwlGYaR,1,440,0,2,2,18-24,1,2,2,1,2,4,5,5,5,4,3,4,4,4,4,4,4,"1,3",4,3,,,2,2,0.800000012,,1,,,,4,4,4,4,4,4,,,,4,4,4,4,4,4,influencer_meat_expert_oil,tfft,influencer,expert,1,4.4,4,,4,4,4,,4,18-34
R_7hWmyqt4bCrIngv,1,247,0,1,1,25-34,2,2,3,1,1,3,4,3,4,4,2,3,3,4,3,4,3,"1,2",4,3,,,2,1,0.899999976158142,,1,,,,3,4,4,5,5,4,,,,4,5,3,2,5,4,influencer_meat_expert_oil,tfft,influencer,expert,1,3.4,3.4,,4,4,3.66666666666667,,3.66666666666667,18-34
R_7v7ypdiYCGWqZY5,1,476,0,0,1,55-64,1,2,2,1,2,4,6,5,5,5,4,5,6,5,6,5,6,"1,2,4",4,3,1,1,,,0.400000005960465,,1,6,7,7,6,7,6,6,6,7,6,7,7,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,5,5.6,6.66666666666667,,6.66666666666667,,6.66666666666667,6.66666666666667,55+
R_1JCKwrZpYV2UmkC,1,261,0,2,1,Under18,2,2,3,1,2,4,2,5,4,2,2,4,2,2,4,5,3,"2,3,4",4,3,3,3,,,0.899999976158142,,1,4,3,4,5,4,1,3,4,5,5,4,5,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,3,3.2,3.66666666666667,,3.66666666666667,,4.66666666666667,4.66666666666667,55+
R_66vS7CChfPKO6lP,1,294,0,2,1,45-54,5,1,4,1,3,1,7,7,7,7,7,7,7,7,7,7,7,2,4,3,,,4,2,0.800000012,,1,,,,6,6,4,4,4,4,,,,6,6,6,4,4,4,influencer_meat_expert_oil,ftft,influencer,expert,1,7,7,,6,6,4,,4,35-54
R_7rpdZgGxYr50YHj,1,356,0,0,1,25-34,1,2,4,1,4,4,4,7,6,5,5,5,7,7,7,7,7,"1,2",4,3,1,1,,,0.899999976158142,,1,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,5.4,7,7,,7,,7,7,18-34
R_5ZJsPmsFkJwzKtB,1,187,0,0,2,45-54,1,2,4,1,3,3,4,4,4,4,4,4,4,4,4,4,4,1,4,3,1,1,,,0.699999988,,1,4,7,5,4,4,7,7,7,7,6,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4,4,5.33333333333333,,5.33333333333333,,4.66666666666667,4.66666666666667,35-54
R_7OJfw82AT9bGJTF,1,470,0,1,1,35-44,1,2,2,1,4,3,6,4,6,5,4,6,6,6,6,6,6,1,4,3,,,4,1,0.899999976158142,,1,,,,4,5,5,5,6,7,,,,4,3,3,4,5,4,influencer_meat_expert_oil,ftft,influencer,expert,1,5,6,,3.33333333333333,3.33333333333333,4.33333333333333,,4.33333333333333,35-54
R_3IS0If7TulzDhuK,1,475,0,1,2,55-64,1,2,4,1,1,6,1,3,3,7,1,1,2,2,1,3,1,"4,6",4,2,1,1,,,1,,1,7,1,4,7,1,4,7,1,4,7,1,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,3,1.8,4,,4,,4,4,55+
R_3VmbKjBaqfDXbhf,1,607,0,0,1,35-44,1,2,2,1,1,7,4,5,3,7,3,5,4,6,4,5,5,"1,3",4,3,1,1,,,1,,1,5,5,5,2,1,1,5,4,4,3,3,1,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4.4,4.8,5,,5,,2.33333333333333,2.33333333333333,35-54
