StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,intro_description,gender,gender_4_TEXT,age,race,hispanic_origin,education,country_origin,region,1_expert_trust,2_expert_trust,3_expert_trust,4_expert_trust,5_expert_trust,6_expert_trust,attention1,1_health_engagement,2_health_engagement,3_health_engagement,4_health_engagement,5_health_engagement,info_source,info_source_8_TEXT,politics,attention2,bio_meat_exp_timer_First Click,bio_meat_exp_timer_Last Click,bio_meat_exp_timer_Page Submit,bio_meat_exp_timer_Click Count,meat_post_timer_First Click,meat_post_timer_Last Click,meat_post_timer_Page Submit,meat_post_timer_Click Count,attention_meat_exp,meat_exp_accurate,meat_exp_authentic,meat_exp_believable,bio_sleep_timer_First Click,bio_sleep_timer_Last Click,bio_sleep_timer_Page Submit,bio_sleep_timer_Click Count,dm1_timer_First Click,dm1_timer_Last Click,dm1_timer_Page Submit,dm1_timer_Click Count,dmy1_slp_accurate,dmy1_slp_authentic,dmy1_slp_believable,bio_water_timer_First Click,bio_water_timer_Last Click,bio_water_timer_Page Submit,bio_water_timer_Click Count,dmy2_timer_First Click,dmy2_timer_Last Click,dmy2_timer_Page Submit,dmy2_timer_Click Count,dmy2_wt_accurate,dmy2_wt_authentic,dmy2_wt_believable,bio_oil_infl_timer_First Click,bio_oil_infl_timer_Last Click,bio_oil_infl_timer_Page Submit,bio_oil_infl_timer_Click Count,post_oil_timer_First Click,post_oil_timer_Last Click,post_oil_timer_Page Submit,post_oil_timer_Click Count,attention_oil_inf,oil_infl_accurate,post_oil_authentic,post_oil_believable,bio_meat_infl_timer_First Click,bio_meat_infl_timer_Last Click,bio_meat_infl_timer_Page Submit,bio_meat_infl_timer_Click Count,post_meat_timer_First Click,post_meat_timer_Last Click,post_meat_timer_Page Submit,post_meat_timer_Click Count,attention_meat_infl,meat_infl_accurate,meat_infl_authentic,meat_infl_believable,bio_oil_exp_timer_First Click,bio_oil_exp_timer_Last Click,bio_oil_exp_timer_Page Submit,bio_oil_exp_timer_Click Count,post_oil_timer_First Click,post_oil_timer_Last Click,post_oil_timer_Page Submit,post_oil_timer_Click Count,attention_oil_exp,oil_exp_accurate,oil_exp_authentic,oil_exp_believable,SC0,Q_RecaptchaStatus,Q_RecaptchaError,Q_DuplicateRespondentStatus,Q_BallotBoxStuffing,transaction_id,post_meat_source,post_oil_source,condition_sequence,order_pattern,TotalScore,complete
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_DuplicateRespondent,"Consent to Participate

What you will do

You will view a short Instagram-style feed, then answer a few brief questions. Please read the posts as you normally do.

Risks

There is minimal risk. Some content mentions health topics. You may stop at any time by closing the survey; however, payment is provided only for completed submissions. There is no other penalty for stopping early.

Privacy

We collect your survey responses and your Pure Spectrum participant ID. We do not collect your name or contact information. Data will be stored securely and reported only in aggregate.

Voluntary Participation

Participation is voluntary.

Consent

By selecting “I agree,” you confirm that you are 18 years or older and consent to participate.",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,How old are you?,Choose one or more races that you consider yourself to be,"Are you of Spanish, Hispanic, or Latino origin?",What is the highest level of education you have completed?,List of Countries,What region of the United States do you live in?,I generally trust advice from people with strong knowledge in a topic area. - [Field-1],"When sources disagree, I am more likely to trust those with relevant knowledge and training. - [Field-1]",I am more likely to trust information that appears to be backed by research. - [Field-1],People with specialized knowledge often make issues sound more complicated than they really are. - [Field-1],I often trust health or nutrition advice shared by social media creators. - [Field-1],Personal experience can sometimes be more useful than formal qualifications. - [Field-1],"We want to know if you are reading this question, please select 'Blue' as your answer",I pay attention to information about health and nutrition. - [Field-1],"I actively try to improve my health habits (e.g., sleep, diet, exercise). - [Field-1]",I often seek out health or wellness information (online or offline). - [Field-1],I feel comfortable making sense of health-related information. - [Field-1],I usually have a good sense of what health advice fits my needs. - [Field-1],Where do you get information about health and nutrition (select all that apply)? - Selected Choice,Where do you get information about health and nutrition (select all that apply)? - Other (please specify) - Text,"In general, how would you describe your political views?","To show you are paying attention, please select “Somewhat Disagree” for this question.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What was the main topic of the post you just read:,How accurate is the post you just read?,How authentic is the post you just read?,How believable is the post you just read?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How accurate is the post you just read?,How authentic is the post you just read?,How believable is the post you just read?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How accurate is the post you just read?,How authentic is the post you just read?,How believable is the post you just read?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What was the main topic of the post you just read:,How accurate is the post you just read?,How authentic is the post you just read?,How believable is the post you just read?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What was the main topic of the post you just read:,How accurate is the post you just read?,How authentic is the post you just read?,How believable is the post you just read?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What was the main topic of the post you just read:,How accurate is the post you just read?,How authentic is the post you just read?,How believable is the post you just read?,Attention_check,Q_RecaptchaStatus,Q_RecaptchaError,Q_DuplicateRespondentStatus,Q_BallotBoxStuffing,transaction_id,post_meat_source,post_oil_source,condition_sequence,order_pattern,TotalScore,complete
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""QID58""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_4_TEXT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID104""}","{""ImportId"":""QID7""}","{""ImportId"":""QID103""}","{""ImportId"":""QID1720944148""}","{""ImportId"":""QID121""}","{""ImportId"":""1_QID63""}","{""ImportId"":""2_QID63""}","{""ImportId"":""3_QID63""}","{""ImportId"":""4_QID63""}","{""ImportId"":""5_QID63""}","{""ImportId"":""6_QID63""}","{""ImportId"":""QID111""}","{""ImportId"":""1_QID67""}","{""ImportId"":""2_QID67""}","{""ImportId"":""3_QID67""}","{""ImportId"":""4_QID67""}","{""ImportId"":""5_QID67""}","{""ImportId"":""QID114""}","{""ImportId"":""QID114_8_TEXT""}","{""ImportId"":""QID115""}","{""ImportId"":""QID112""}","{""ImportId"":""QID129_FIRST_CLICK""}","{""ImportId"":""QID129_LAST_CLICK""}","{""ImportId"":""QID129_PAGE_SUBMIT""}","{""ImportId"":""QID129_CLICK_COUNT""}","{""ImportId"":""QID86_FIRST_CLICK""}","{""ImportId"":""QID86_LAST_CLICK""}","{""ImportId"":""QID86_PAGE_SUBMIT""}","{""ImportId"":""QID86_CLICK_COUNT""}","{""ImportId"":""QID107""}","{""ImportId"":""QID77""}","{""ImportId"":""QID80""}","{""ImportId"":""QID83""}","{""ImportId"":""QID130_FIRST_CLICK""}","{""ImportId"":""QID130_LAST_CLICK""}","{""ImportId"":""QID130_PAGE_SUBMIT""}","{""ImportId"":""QID130_CLICK_COUNT""}","{""ImportId"":""QID87_FIRST_CLICK""}","{""ImportId"":""QID87_LAST_CLICK""}","{""ImportId"":""QID87_PAGE_SUBMIT""}","{""ImportId"":""QID87_CLICK_COUNT""}","{""ImportId"":""QID78""}","{""ImportId"":""QID81""}","{""ImportId"":""QID84""}","{""ImportId"":""QID131_FIRST_CLICK""}","{""ImportId"":""QID131_LAST_CLICK""}","{""ImportId"":""QID131_PAGE_SUBMIT""}","{""ImportId"":""QID131_CLICK_COUNT""}","{""ImportId"":""QID88_FIRST_CLICK""}","{""ImportId"":""QID88_LAST_CLICK""}","{""ImportId"":""QID88_PAGE_SUBMIT""}","{""ImportId"":""QID88_CLICK_COUNT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID82""}","{""ImportId"":""QID85""}","{""ImportId"":""QID132_FIRST_CLICK""}","{""ImportId"":""QID132_LAST_CLICK""}","{""ImportId"":""QID132_PAGE_SUBMIT""}","{""ImportId"":""QID132_CLICK_COUNT""}","{""ImportId"":""QID89_FIRST_CLICK""}","{""ImportId"":""QID89_LAST_CLICK""}","{""ImportId"":""QID89_PAGE_SUBMIT""}","{""ImportId"":""QID89_CLICK_COUNT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID133_FIRST_CLICK""}","{""ImportId"":""QID133_LAST_CLICK""}","{""ImportId"":""QID133_PAGE_SUBMIT""}","{""ImportId"":""QID133_CLICK_COUNT""}","{""ImportId"":""QID90_FIRST_CLICK""}","{""ImportId"":""QID90_LAST_CLICK""}","{""ImportId"":""QID90_PAGE_SUBMIT""}","{""ImportId"":""QID90_CLICK_COUNT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID72""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""QID134_FIRST_CLICK""}","{""ImportId"":""QID134_LAST_CLICK""}","{""ImportId"":""QID134_PAGE_SUBMIT""}","{""ImportId"":""QID134_CLICK_COUNT""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID69""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""SC_6xpaQNrMJ6g9fO6""}","{""ImportId"":""Q_RecaptchaStatus""}","{""ImportId"":""Q_RecaptchaError""}","{""ImportId"":""Q_DuplicateRespondentStatus""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""transaction_id""}","{""ImportId"":""post_meat_source""}","{""ImportId"":""post_oil_source""}","{""ImportId"":""condition_sequence""}","{""ImportId"":""order_pattern""}","{""ImportId"":""TotalScore""}","{""ImportId"":""complete""}"
2026-04-02 14:59:14,2026-04-02 15:01:50,0,68.255.60.183,100,156,1,2026-04-02 15:01:51,R_747Wu9pgGjmO20T,,,,,31.303,-92.5037,anonymous,EN,0.800000011920929,,4,1,,2,2,2,2,1,3,5,7,5,7,6,5,4,5,6,7,7,6,"4,5",,2,3,,,,,,,,,,,,,0.89,0.89,3.861,1,0.426,0.426,5.993,1,5,7,4,0,0,3.893,0,0.34,6.009,9.006,3,4,7,5,,,,,,,,,,,,,0.769,0.769,5.894,1,0.505,1.656,11.367,2,4,4,5,4,4.823,4.823,5.705,1,0.825,7.604,10.656,4,1,4,7,5,1,complete,,,,1v8tydcMUrf0iVmQRgjuIQ,influencer,expert,influencer_meat_expert_oil,tfft,,1
2026-04-02 14:57:52,2026-04-02 15:03:49,0,167.150.5.68,100,357,1,2026-04-02 15:03:50,R_6g0c3mm8t9mAeOV,,,,,44.0597,-121.3157,anonymous,EN,1,,4,1,,3,1,2,5,1,4,7,6,5,5,7,7,4,7,6,7,5,7,"1,3,4",,6,3,0,0,7.117,0,0,0,14.267,0,2,7,6,7,0,0,6.233,0,0,0,6.804,0,7,6,7,0,0,6.016,0,0,0,7.271,0,7,6,7,0,0,7.5,0,0,0,13.781,0,2,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,2,complete,,,,0GvdWNCs8K2ykC8JukcBoQ,expert,influencer,expert_meat_influencer_oil,ftft,,1
2026-04-02 14:59:57,2026-04-02 15:04:09,0,107.181.32.174,100,251,1,2026-04-02 15:04:09,R_6CDm0fPllZH9681,,,,,38.0052,-84.423,anonymous,EN,0.8999999761581421,,4,2,,4,1,2,1,1,3,7,7,7,7,7,7,4,7,7,7,7,7,1,,7,7,0,0,6.291,0,2.646,7.287,11.394,4,4,7,7,7,0,0,4.495,0,5.601,5.601,6.47,1,7,7,7,0,0,4.323,0,1.165,5.065,6.306,3,7,7,7,3.349,4.221,6.071,2,0.995,7.942,11.149,4,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,3,complete,,,,741CnZurkNaMmbRQamcyjX,expert,influencer,expert_meat_influencer_oil,tfft,,1
2026-04-02 15:02:51,2026-04-02 15:05:59,0,100.14.167.55,100,187,1,2026-04-02 15:05:59,R_12oix1411U5MmVL,,,,,40.1215,-75.3269,anonymous,EN,0.8999999761581421,,4,1,,3,1,2,4,1,2,7,7,7,7,7,7,4,6,7,7,7,7,"1,2,3,4,6,5",,2,3,,,,,,,,,,,,,0,0,4.362,0,2.231,4.493,6.085,2,7,7,7,0,0,4.576,0,0.593,1.318,10.101,2,7,7,7,,,,,,,,,,,,,2.901,3.702,7.338,2,0.902,7.152,12.164,3,2,7,7,7,0,0,5.751,0,1.161,3.977,12.164,3,2,7,7,7,2,complete,,,,54njM78eCkAW1hcQYTXl0L,influencer,expert,influencer_meat_expert_oil,tfft,,1
2026-04-02 14:59:08,2026-04-02 15:06:01,0,172.56.187.173,100,413,1,2026-04-02 15:06:02,R_7syvAL9ZbjGPSU0,,,,,34.3077,-118.4287,anonymous,EN,1,,4,2,,5,2,2,3,1,4,6,5,6,5,5,6,4,2,2,2,3,3,"1,2,3",,4,3,,,,,,,,,,,,,5.729,5.729,5.737,1,1.755,6.145,6.854,6,4,4,5,3.262,6.009,6.018,2,5.504,6.802,7.859,2,5,5,5,,,,,,,,,,,,,0,0,10.007,0,7.671,9.123,12.009,3,5,4,3,5,0,0,7.645,0,13.586,18.097,19.7,4,6,5,6,6,2,complete,,,,5FY9HKV2g8o1fwi5VE0v7P,influencer,expert,influencer_meat_expert_oil,ftft,,1
2026-04-02 15:07:04,2026-04-02 15:07:20,0,50.89.237.27,100,15,1,2026-04-02 15:07:21,R_6UXkBa6PsKbaonS,,,,,28.6354,-81.4888,anonymous,EN,0.800000011920929,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,complete,,,,1ksmfPY9ZJ8HyrATo4zBVZ,,,,,,
2026-04-02 15:04:58,2026-04-02 15:08:04,0,74.231.52.57,100,185,1,2026-04-02 15:08:04,R_6gAUGQ9MRAfGItW,,,,,34.0007,-81.0348,anonymous,EN,0.8999999761581421,,4,2,,3,1,1,3,1,3,6,6,6,6,6,6,4,6,6,6,6,6,"2,6",,2,6,,,,,,,,,,,,,1.198,1.49,3.914,2,0.936,6.171,7.792,11,6,6,6,3.909,3.909,4.409,1,0.652,5.965,6.641,12,7,5,7,,,,,,,,,,,,,0,0,6.653,0,1.127,17.521,18.196,13,3,6,6,6,0.44,2.476,5.714,3,0.703,8.698,11.541,15,4,6,6,6,3,complete,,,,2s9nEEZSiT4w3pecQM6YDm,influencer,expert,influencer_meat_expert_oil,tfft,,1
2026-04-02 15:03:33,2026-04-02 15:08:40,0,73.65.97.115,100,307,1,2026-04-02 15:08:41,R_3sbAgHDyBjX690L,,,,,45.0546,-93.2566,anonymous,EN,0.800000011920929,,4,1,,5,1,2,3,1,1,4,6,6,4,1,5,4,1,1,1,1,1,8,"I don't ",3,3,0,0,15.927,0,1.394,31.122,31.544,3,1,4,4,4,0,0,11.073,0,1.297,28.387,29.294,2,4,4,4,0,0,7.274,0,0.975,17.971,18.746,2,4,4,4,11.497,11.497,12.515,1,0.656,28.553,29.405,2,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,0,complete,,,,5dgZRRGTb15YQiUIfvWRln,expert,influencer,expert_meat_influencer_oil,tfft,,1
