StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,intro_description,gender,gender_4_TEXT,age,race,hispanic_origin,education,country_origin,region,1_expert_trust,2_expert_trust,3_expert_trust,4_expert_trust,5_expert_trust,6_expert_trust,attention1,1_health_engagement,2_health_engagement,3_health_engagement,4_health_engagement,5_health_engagement,info_source,info_source_8_TEXT,politics,attention2,meat_post_timer_First Click,meat_post_timer_Last Click,meat_post_timer_Page Submit,meat_post_timer_Click Count,attention_meat_exp,meat_exp_accurate,meat_exp_authentic,meat_exp_believable,meat_exp_explain,dm1_timer_First Click,dm1_timer_Last Click,dm1_timer_Page Submit,dm1_timer_Click Count,dmy1_slp_accurate,dmy1_slp_authentic,dmy1_slp_believable,dmy2_timer_First Click,dmy2_timer_Last Click,dmy2_timer_Page Submit,dmy2_timer_Click Count,dmy2_wt_accurate,dmy2_wt_authentic,dmy2_wt_believable,post_oil_timer_First Click,post_oil_timer_Last Click,post_oil_timer_Page Submit,post_oil_timer_Click Count,attention_oil_inf,oil__infl_accurate,oil_infl_authentic,oil_infl_believable,oil_infl_explain,post_meat_timer_First Click,post_meat_timer_Last Click,post_meat_timer_Page Submit,post_meat_timer_Click Count,attention_meat_infl,meat_infl_accurate,meat_infl_authentic,meat_infl_believable,meat_infl_explain,post_oil_timer_First Click,post_oil_timer_Last Click,post_oil_timer_Page Submit,post_oil_timer_Click Count,attention_oil_exp,oil_exp_accurate,oil_exp_authentic,oil_exp_believable,oil_exp_explain,SC0,Q_RecaptchaStatus,Q_RecaptchaError,Q_DuplicateRespondentStatus,Q_BallotBoxStuffing,transaction_id,post_meat_source,post_oil_source,condition_sequence,order_pattern,TotalScore,complete
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_DuplicateRespondent,"Consent to Participate

What you will do

You will view a short Instagram-style feed, then answer a few brief questions. Please read the posts as you normally do.

Risks

There is minimal risk. Some content mentions health topics. You may stop at any time by closing the survey; however, payment is provided only for completed submissions. There is no other penalty for stopping early.

Privacy

We collect your survey responses and your Pure Spectrum participant ID. We do not collect your name or contact information. Data will be stored securely and reported only in aggregate.

Voluntary Participation

Participation is voluntary.

Consent

By selecting “I agree,” you confirm that you are 18 years or older and consent to participate.",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,How old are you?,Choose one or more races that you consider yourself to be,"Are you of Spanish, Hispanic, or Latino origin?",What is the highest level of education you have completed?,List of Countries,What region of the United States do you live in?,I generally trust advice from people with strong knowledge in a topic area. - [Field-1],"When sources disagree, I am more likely to trust those with relevant knowledge and training. - [Field-1]",I am more likely to trust information that appears to be backed by research. - [Field-1],People with specialized knowledge often make issues sound more complicated than they really are. - [Field-1],I often trust health or nutrition advice shared by social media creators. - [Field-1],Personal experience can sometimes be more useful than formal qualifications. - [Field-1],"We want to know if you are reading this question, please select 'Blue' as your answer",I pay attention to information about health and nutrition. - [Field-1],"I actively try to improve my health habits (e.g., sleep, diet, exercise). - [Field-1]",I often seek out health or wellness information (online or offline). - [Field-1],I feel comfortable making sense of health-related information. - [Field-1],I usually have a good sense of what health advice fits my needs. - [Field-1],Where do you get information about health and nutrition (select all that apply)? - Selected Choice,Where do you get information about health and nutrition (select all that apply)? - Other (please specify) - Text,"In general, how would you describe your political views?","To show you are paying attention, please select “Somewhat Disagree” for this question.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What was the main topic of the post you just read:,How accurate is the post you just read?,How authentic is the post you just read?,How believable is the post you just read?,"Please briefly describe why you rated this post the level of accuracy, authenticity, and believability that you did.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How accurate is the post you just read?,How authentic is the post you just read?,How believable is the post you just read?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How accurate is the post you just read?,How authentic is the post you just read?,How believable is the post you just read?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What was the main topic of the post you just read:,How accurate is the post you just read?,How authentic is the post you just read?,How believable is the post you just read?,"Please briefly describe why you rated this post the level of accuracy, authenticity, and believability that you did.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What was the main topic of the post you just read:,How accurate is the post you just read?,How authentic is the post you just read?,How believable is the post you just read?,"Please briefly describe why you rated this post the level of accuracy, authenticity, and believability that you did.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What was the main topic of the post you just read:,How accurate is the post you just read?,How authentic is the post you just read?,How believable is the post you just read?,"Please briefly describe why you rated this post the level of accuracy, authenticity, and believability that you did.",Attention_check,Q_RecaptchaStatus,Q_RecaptchaError,Q_DuplicateRespondentStatus,Q_BallotBoxStuffing,transaction_id,post_meat_source,post_oil_source,condition_sequence,order_pattern,TotalScore,complete
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""QID58""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_4_TEXT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID104""}","{""ImportId"":""QID7""}","{""ImportId"":""QID103""}","{""ImportId"":""QID1720944148""}","{""ImportId"":""QID121""}","{""ImportId"":""1_QID63""}","{""ImportId"":""2_QID63""}","{""ImportId"":""3_QID63""}","{""ImportId"":""4_QID63""}","{""ImportId"":""5_QID63""}","{""ImportId"":""6_QID63""}","{""ImportId"":""QID111""}","{""ImportId"":""1_QID67""}","{""ImportId"":""2_QID67""}","{""ImportId"":""3_QID67""}","{""ImportId"":""4_QID67""}","{""ImportId"":""5_QID67""}","{""ImportId"":""QID114""}","{""ImportId"":""QID114_8_TEXT""}","{""ImportId"":""QID115""}","{""ImportId"":""QID112""}","{""ImportId"":""QID86_FIRST_CLICK""}","{""ImportId"":""QID86_LAST_CLICK""}","{""ImportId"":""QID86_PAGE_SUBMIT""}","{""ImportId"":""QID86_CLICK_COUNT""}","{""ImportId"":""QID107""}","{""ImportId"":""QID77""}","{""ImportId"":""QID80""}","{""ImportId"":""QID83""}","{""ImportId"":""QID117_TEXT""}","{""ImportId"":""QID87_FIRST_CLICK""}","{""ImportId"":""QID87_LAST_CLICK""}","{""ImportId"":""QID87_PAGE_SUBMIT""}","{""ImportId"":""QID87_CLICK_COUNT""}","{""ImportId"":""QID78""}","{""ImportId"":""QID81""}","{""ImportId"":""QID84""}","{""ImportId"":""QID88_FIRST_CLICK""}","{""ImportId"":""QID88_LAST_CLICK""}","{""ImportId"":""QID88_PAGE_SUBMIT""}","{""ImportId"":""QID88_CLICK_COUNT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID82""}","{""ImportId"":""QID85""}","{""ImportId"":""QID89_FIRST_CLICK""}","{""ImportId"":""QID89_LAST_CLICK""}","{""ImportId"":""QID89_PAGE_SUBMIT""}","{""ImportId"":""QID89_CLICK_COUNT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID118_TEXT""}","{""ImportId"":""QID90_FIRST_CLICK""}","{""ImportId"":""QID90_LAST_CLICK""}","{""ImportId"":""QID90_PAGE_SUBMIT""}","{""ImportId"":""QID90_CLICK_COUNT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID72""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""QID119_TEXT""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID69""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID120_TEXT""}","{""ImportId"":""SC_6xpaQNrMJ6g9fO6""}","{""ImportId"":""Q_RecaptchaStatus""}","{""ImportId"":""Q_RecaptchaError""}","{""ImportId"":""Q_DuplicateRespondentStatus""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""transaction_id""}","{""ImportId"":""post_meat_source""}","{""ImportId"":""post_oil_source""}","{""ImportId"":""condition_sequence""}","{""ImportId"":""order_pattern""}","{""ImportId"":""TotalScore""}","{""ImportId"":""complete""}"
3/30/2026 12:34,3/30/2026 12:37,0,64.135.135.255,100,149,1,3/30/2026 12:37,R_1rIk5qJa4PdpLC3,,,,,42.1719,-72.4721,anonymous,EN,0.8999999761581421,,4,1,,2,1,2,1,1,2,7,7,7,7,7,7,4,7,7,7,7,7,"4,6",,6,3,,,,,,,,,,1.006,8.783,9.47,4,7,7,7,0.501,5.08,6.752,2,7,7,7,,,,,,,,,,2.143,2.143,11.256,1,1,7,7,7,It is a good option ,0.298,10.214,10.753,3,3,7,7,7,Great product and idea,1,complete,,,,5j3OGsyKwGk0LlPEQKH2YS,influencer,expert,influencer_meat_expert_oil,ftft,{gr://SC/Attention_check},1
3/30/2026 12:35,3/30/2026 12:38,0,172.56.94.11,100,128,1,3/30/2026 12:38,R_726g77ZY2EQnmwE,,,,,29.4963,-98.4004,anonymous,EN,1,,4,1,,2,1,2,4,1,3,7,6,7,7,1,7,4,7,7,7,7,7,"2,3,4,5",,1,3,,,,,,,,,,0.584,5.16,7.512,3,7,7,7,0.433,3.186,7.001,3,7,7,7,,,,,,,,,,0.593,3.862,10.955,3,1,7,7,7,It was geez ,0.343,10.976,12,5,1,7,7,7,It was great,0,complete,,,,02PTQiok1mwZnkXZlQBeQU,influencer,expert,influencer_meat_expert_oil,ftft,{gr://SC/Attention_check},1
3/30/2026 12:35,3/30/2026 12:38,0,107.122.189.133,100,189,1,3/30/2026 12:38,R_7t9UNxAehf42qGR,,,,,42.3602,-71.0594,anonymous,EN,0.699999988,,4,2,,3,1,2,2,1,2,4,4,5,4,3,3,4,4,4,4,3,4,3,,1,4,0.698,8.396,26.219,12,1,4,5,2,Idk,0.546,6.493,6.862,13,4,3,4,1.017,1.017,10.697,1,4,4,4,1.193,1.685,20.001,2,2,4,4,4,06067,,,,,,,,,,,,,,,,,,,2,complete,,,,0j7STdT0iM8yvtIJyOF3qt,expert,influencer,expert_meat_influencer_oil,ftft,{gr://SC/Attention_check},1
3/30/2026 12:35,3/30/2026 12:38,0,68.200.135.123,100,190,1,3/30/2026 12:38,R_1I6AV8ijjx0EjyF,,,,,28.3939,-81.4216,anonymous,EN,0.8999999761581421,,4,1,,1,2,2,2,1,1,7,6,2,3,3,2,5,2,3,7,3,2,8,,5,5,0.561,11.101,11.932,16,3,1,2,2,1,0.651,1.186,7.777,2,1,1,6,0.639,1.129,7.27,2,1,5,2,0.017,1.217,11.82,3,1,6,3,3,Gfshjdfhk,,,,,,,,,,,,,,,,,,,3,complete,,,,6cVZzvpWBSbc1OGsf05tEu,expert,influencer,expert_meat_influencer_oil,tfft,{gr://SC/Attention_check},1
3/30/2026 12:34,3/30/2026 12:39,0,68.202.106.13,100,276,1,3/30/2026 12:39,R_1nHuVQlcmWS0RJU,,,,,28.9025,-81.248,anonymous,EN,1,,4,1,,6,1,2,2,1,3,5,5,5,5,1,6,4,4,5,5,5,5,1,,4,3,,,,,,,,,,0,0,7.367,0,4,4,4,0,0,8.041,0,4,4,4,,,,,,,,,,0,0,21.263,0,2,4,4,4,none,0,0,22.696,0,3,4,4,4,none,2,complete,,,,0osDgJvH3GjPminT3LYwUb,influencer,expert,influencer_meat_expert_oil,ftft,{gr://SC/Attention_check},1
3/30/2026 12:34,3/30/2026 12:39,0,164.153.57.125,100,289,1,3/30/2026 12:39,R_1me0SJ0bkK9kvyF,,,,,34.0923,-82.5957,anonymous,EN,0.8999999761581421,,4,1,,4,1,1,2,1,3,6,5,5,4,5,6,4,6,6,7,6,6,"1,3,4",,5,3,,,,,,,,,,1.184,6.986,8.998,3,6,5,6,2.697,9.717,11.463,5,6,5,6,,,,,,,,,,1.225,8.596,12.894,2,3,6,6,6,Because that’s how I feel ,1.188,1.188,12.715,1,6,4,4,4,Because that’s how I feel ,2,complete,,,,5mm28PZk3Ka9K7ZdHJrmfp,influencer,expert,influencer_meat_expert_oil,tfft,{gr://SC/Attention_check},1
3/30/2026 12:34,3/30/2026 12:39,0,172.59.138.30,100,295,1,3/30/2026 12:39,R_7zYLPbocPGjZVfQ,,,,,40.4422,-79.9927,anonymous,EN,0.8999999761581421,,4,2,,3,1,2,3,1,2,6,6,7,4,6,5,4,6,6,6,6,6,"1,3,4",,1,3,1.8,11.926,21.822,3,1,6,6,6,I know that red meat is not good for you to eat all the time.,5.095,35.623,57.203,4,5,6,5,7.566,7.566,19.914,1,7,7,7,2.626,12.232,20.359,2,1,6,6,6,I know that's weird oils are not very good for you.,,,,,,,,,,,,,,,,,,,0,complete,,,,23sESBFh53IVBXk18013VG,expert,influencer,expert_meat_influencer_oil,ftft,{gr://SC/Attention_check},1
3/30/2026 12:36,3/30/2026 12:39,0,108.216.48.192,100,181,1,3/30/2026 12:39,R_35sbdBKXIWlIzo5,,,,,36.3528,-119.3007,anonymous,EN,0.800000012,,4,1,,3,1,2,3,1,4,6,7,7,6,7,7,4,7,6,7,6,7,"1,2,3,4,5",,7,3,1.154,10.734,11.502,8,2,7,6,7,Because it is a great company for me ,1.274,1.274,9.449,1,7,6,7,0.997,0.997,7.852,1,7,6,7,0.993,1.678,10.601,2,3,7,6,7,This is a great company for me ,,,,,,,,,,,,,,,,,,,2,complete,,,,6i0vWWizqngxTXUJiFL5cT,expert,influencer,expert_meat_influencer_oil,tfft,{gr://SC/Attention_check},1
